labels,text,text_de,text_fr
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Gehen Sie bis jurong Punkt, verrückt.. Verfügbar nur in buggis n great world la e buffet... Cine there got amore wat...","Allez jusqu'à Jurong point, fou.. Disponible seulement dans bugis n grand monde la e buffet... Cine il y a eu plus..."
ham,Ok lar... Joking wif u oni...,Ok Lar... joking wif u oni...,J'ai fait une blague sur le wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,"Freier Eintritt in 2 a wkly comp zum Gewinn FA Cup Final tkts 21. Mai 2005. Text FA bis 87121, um Eingangsfrage zu erhalten(std txt rate)T&C's gelten 08452810075over18's",Entrée libre dans 2 a wkly comp pour gagner FA Cup final tkts 21 mai 2005. Texte FA à 87121 pour recevoir la question d'entrée(std txt rate)T&C's appliquer 08452810075over18's
ham,U dun say so early hor... U c already then say...,U dun sagen so früh... U c schon dann sagen...,U dun dit si tôt hor... U c déjà dire alors...
ham,"Nah I don't think he goes to usf, he lives around here though","Nein, ich glaube nicht, dass er zu unsf geht, er lebt hier in der Nähe.","Non, je ne pense pas qu'il va à usf, il vit dans le coin."
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","FreeMsg Hey da Liebling es war 3 Wochen jetzt und kein Wort zurück! Ich möchte etwas Spaß Sie für es noch? Tb ok! XxX std chgs zu senden, £1,50 zu rcv","FreeMsg Hey il ya ma chérie il a été 3 semaines maintenant et aucun mot de retour! J'aimerais que vous vous amusez encore pour elle? Tb ok! XxX std chgs à envoyer, £1,50 à rcv"
ham,Even my brother is not like to speak with me. They treat me like aids patent.,Selbst mein Bruder ist nicht gern mit mir sprechen. Sie behandeln mich wie Hilfsmittel Patent.,"Même mon frère n'aime pas me parler, ils me traitent comme un brevet d'aide."
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"Gemäß Ihrer Anfrage 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)"" wurde als Anrufer für alle Anrufer eingestellt. Drücken Sie *9, um Ihre Freunde zu kopieren Callertune","Conformément à votre demande, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' a été définie comme votre callertune pour tous les appelants. Appuyez sur *9 pour copier vos amis Callertune"
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"WINNER!! Als geschätzter Netzwerkkunde wurden Sie ausgewählt, um eine Preisbelohnung von £900 zu erhalten! Rufen Sie 09061701461 an. Anspruchscode KL341. Nur gültig 12 Stunden.","WINNER!! En tant que client de réseau apprécié, vous avez été sélectionné pour recevoir une récompense de £900! Pour réclamer un appel 09061701461. Code de réclamation KL341. Valable 12 heures seulement."
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,"Hatte Ihr Handy 11 Monate oder länger? U R berechtigt, die neuesten Farbmobile mit Kamera kostenlos zu aktualisieren! Rufen Sie The Mobile Update Co GRATIS auf 08002986030",Avez-vous eu votre mobile 11 mois ou plus? U R a droit à mettre à jour les derniers mobiles couleur avec caméra gratuitement! Appelez The Mobile Update Co GRATUIT au 08002986030
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","Ich bin bald zu Hause und will heute Abend nicht mehr darüber reden, K? Ich habe heute genug geweint.","Je vais bientôt rentrer et je ne veux plus parler de ça ce soir, j'ai assez pleuré aujourd'hui."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX Chancen zu gewinnen CASH! Von 100 bis 20.000 Pfund txt> CSH11 und senden an 87575. Kosten 150p / Tag, 6 Tage, 16 + TsandCs gelten Antworten HL 4 info","SIX chances de gagner CASH! De 100 à 20 000 livres txt> CSH11 et envoyer à 87575. Coût 150p/jour, 6jours, 16+ TsandCs appliquer Répondre HL 4 info"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",URGENT! Sie haben eine 1 Woche kostenlose Mitgliedschaft in unserem $100.000 Prize Jackpot gewonnen! Txt das Wort: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18,URGENT! Vous avez gagné 1 semaine d'adhésion GRATUITE à notre prix Jackpot £ 100 000! Txt le mot: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,"Ich habe nach den richtigen Worten gesucht, um Ihnen für diese Verschnaufpause zu danken. Ich verspreche Ihnen, dass ich Ihre Hilfe nicht für selbstverständlich nehmen und mein Versprechen erfüllen werde.",J'ai cherché les bons mots pour vous remercier pour ce respirateur. Je promets que je ne tiendrai pas votre aide pour acquise et réaliserai ma promesse. Vous avez été merveilleux et une bénédiction en tout temps.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,Ich habe ein Date am Sonntag mit Will!!,J'ai un rendez-vous le dimanche avec Will!!
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: Um Ihr Guthaben zu nutzen, klicken Sie auf den WAP-Link in der nächsten txt-Nachricht oder klicken Sie hier>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJGCBL","XXXMobileMovieClub: Pour utiliser votre crédit, cliquez sur le lien WAP dans le prochain message txt ou cliquez ici> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,Oh k...i'm watching here:),Oh k...ich schaue hier:),Oh k... je regarde ici :)
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,"Eh u erinnern, wie 2 seinen Namen buchstabieren... Ja, ich habe. Er v freche machen, bis ich v nass.",Souvenez-vous comment 2 épeler son nom... oui je l'ai fait. Il v vilain faire jusqu'à ce que je v mouillé.
ham,Fine if thats the way u feel. Thats the way its gota b,"Gut, wenn das die Art und Weise u fühlen. Das ist die Art und Weise seine gota b",Très bien si c'est comme ça que tu ressens. C'est comme ça que c'est son geta b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","England / Mazedonien - verpassen Sie nicht die Tore / Team Nachrichten. Txt ur Nationalmannschaft zu 87077 zB ENGLAND zu 87077 Versuchen:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","Angleterre v Macédoine - ne manquez pas les buts/nouvelles de l'équipe. Txt ur équipe nationale à 87077 par exemple ENGLAND à 87077 Essayez:WALES, SCOTLAND 4txt/ú1.20 POBOX36504W45WQ 16+"
ham,Is that seriously how you spell his name?,Schreibst du so ernsthaft seinen Namen?,C'est vraiment comme ça que vous épellez son nom?
ham,I‘m going to try for 2 months ha ha only joking,"Ich werde versuchen, für 2 Monate ha ha nur Scherze",Je vais essayer pendant 2 mois ha ha seulement plaisanter
ham,So ü pay first lar... Then when is da stock comin...,"Also zahlen Sie zuerst Lar... dann, wenn da stock comin...",Alors ü paie d'abord... puis quand est da stock comin...
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,"Wenn ich mein Mittagessen fertig, dann gehe ich str down lor. Ard 3 smth lor. U beenden ur Mittagessen bereits?",J'ai fini mon déjeuner puis j'ai décroché lor. Ard 3 smth lor. U fini le déjeuner ur déjà?
ham,Ffffffffff. Alright no way I can meet up with you sooner?,Ffffffffff. Kann ich mich nicht früher mit dir treffen?,Je ne peux pas te rencontrer plus tôt?
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,"Ich habe wirklich keinen Hunger. Das ist scheiße. Mark macht sich Sorgen. Er weiß, dass ich krank bin, wenn ich Pizza kippe. Lol","Je n'ai pas faim, ça craint, Mark s'inquiète, il sait que je suis malade quand je refuse la pizza."
ham,Lol your always so convincing.,Lol Ihre immer so überzeugend.,Allongez votre toujours si convaincant.
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Hast du den Bus erwischt? Frittest du ein Ei? Hast du einen Tee gemacht? Isst du deine Mutter über das Abendessen übrig? Fühlst du meine Liebe?,Tu as pris le bus? Tu fais frire un œuf? Tu as fait un thé? Tu manges le reste de ta mère après le dîner? Tu sens mon amour?
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room","Ich bin zurück &amp; Wir packen jetzt das Auto, ich sage Ihnen, wenn es Zimmer gibt","Je suis de retour &amp; nous sommes en train d'emballer la voiture maintenant, je vous ferai savoir s'il y a de la place"
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh. Arbeit. Ich erinnere mich vage daran! Wie fühlt es sich an? Lol,Je m'en souviens vaguement! Qu'est-ce que ça fait?
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Warten Sie, das ist immer noch nicht alles klar, waren Sie nicht sicher, dass ich sarkastisch oder das ist, warum x will nicht mit uns leben","Attends que ce n'est pas tout à fait clair, n'étais-tu pas sûr que je sois sarcastique ou que c'est pourquoi x ne veut pas vivre avec nous"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,"Ja, er kam mit 2 und war v entschuldigt. n war ausgefallen und sie war wie verwöhntes Kind handeln und er wurde darin gefangen. Bis 2! Aber wir werden nicht dorthin gehen! Nicht zu schlecht jubeln. Sie?",Oui il est entré à 2 ans et était v apologétique. n était tombé dehors et elle était actin comme enfant gâté et il a été pris dans cela. Jusqu'à 2 ans! Mais nous n'allons pas là-bas!
ham,K tell me anything about you.,Erzählen Sie mir etwas über Sie.,Je n'ai rien à vous dire.
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,"Aus Angst vor Ohnmacht mit der ganzen Hausarbeit, die Sie gerade getan haben? Schnell haben einen Cuppa",De peur de s'évanouir avec toutes ces tâches ménagères que tu viens de faire?
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,"Vielen Dank für Ihr Abonnement an Ringtone UK Ihr Handy wird berechnet £5/Monat Bitte bestätigen Sie, indem Sie JA oder NEIN. Wenn Sie antworten NEIN werden Sie nicht berechnet",Merci pour votre abonnement à Ringtone UK votre mobile sera facturé £5/mois Veuillez confirmer en répondant OUI ou NON. Si vous répondez NON vous ne serez pas facturé
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,"Yup... Ok, ich gehe nach Hause schauen Sie sich die Timings dann i msg u wieder... Xuhui gehen, um am 2. Mai zu lernen, aber ihre Lektion ist um 8 Uhr",Ouais... Ok je rentre à la maison regarder les timings puis i msg ü encore... Xuhui va apprendre le 2e mai aussi mais sa leçon est à 8h
ham,"Oops, I'll let you know when my roommate's done","Oops, ich sag dir Bescheid, wenn meine Mitbewohnerin fertig ist.","Oups, je te préviendrai quand ma colocataire aura fini."
ham,I see the letter B on my car,Ich sehe den Buchstaben B auf meinem Auto,Je vois la lettre B sur ma voiture.
ham,Anything lor... U decide...,Irgendetwas lor... U entscheiden...,Tout ce que le lor... U décidera...
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,"Hallo! Wie geht es dir und wie ist der Samstag gelaufen? Ich habe nur gesimst, um zu sehen, ob du dich entschieden hast, etwas Tomo zu tun. Nicht, dass ich versuche, mich einzuladen oder so!",Bonjour! Comment allez-vous et comment ça s'est passé samedi? Je textais juste pour voir si vous aviez décidé de faire n'importe quoi tomo. Pas que j'essaie de m'inviter ou quoi que ce soit!
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Pls gehen Sie mit Watt. Ich wollte nur sicher sein. Haben Sie ein tolles Wochenende. Abiola,Pls va de l'avant avec watts. Je voulais juste être sûr.
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","Habe ich vergessen, dir zu sagen? Ich will dich, ich brauche dich, ich sehne mich nach dir... Aber vor allem... Ich liebe dich mein süßes arabisches Pferd... Mmmmmmm... Lecker","Est-ce que j'ai oublié de te le dire? Je te veux, j'ai besoin de toi, je t'ai envie... Mais surtout... Je t'aime ma douce arabo... Mmmmm... Miammy"
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,"07732584351 - Rodger Burns - MSG = Wir haben versucht, Sie anzurufen Ihre Antwort auf unsere sms für eine kostenlose nokia mobile + kostenlose Camcorder. Bitte rufen Sie jetzt 08000930705 für die Lieferung morgen",07732584351 - Rodger Burns - MSG = Nous avons essayé de vous appeler re votre réponse à nos sms pour un mobile nokia gratuit + caméscope gratuit. Veuillez appeler au 08000930705 pour la livraison demain
ham,WHO ARE YOU SEEING?,Wen siehst du?,Qui vois-tu?
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,"Ich hoffe, Sie mögen Ihren Mann gut ausgestattet. Ich bin &lt;#&gt; Zoll...",Super! J'espère que vous aimez votre homme bien doué. Je suis &lt;#&gt; pouces...
ham,No calls..messages..missed calls,Keine Anrufe..Nachrichten..fehlte Anrufe,Pas d'appels..messages..appels manqués
ham,Didn't you get hep b immunisation in nigeria.,Hast du keine Hep-b-Impfung in Nigeria bekommen?,Vous n'avez pas reçu d'immunisation de l'hépatite B en nigère.
ham,"Fair enough, anything going on?",Ist alles in Ordnung?,"C'est juste, il se passe quelque chose?"
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","Ja, hoffentlich, wenn Tyler es nicht schafft, könnte ich vielleicht ein bisschen fragen.","Oui, j'espère, si Tyler ne peut pas le faire, je pourrais peut-être demander un peu."
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,"Ich weiß nicht, wie stur ich bin. Ich wollte nicht einmal ins Krankenhaus gehen. Ich sagte Mark, dass ich kein schwacher Trottel bin. Krankenhäuser sind für schwache Trottel.",Je ne voulais même pas aller à l'hôpital.
